symbol,timestamp,type,maturity,strike,underlying,bid,ask
AAPL,1328020230,C,1329541200,355.0,455.25,100.1,101.2
AAPL,1328020230,C,1329541200,345.0,455.25,109.8,111.2
AAPL,1328020230,C,1329541200,395.0,455.25,60.25,60.7
AAPL,1328020230,C,1329541200,385.0,455.25,70.2,70.75
AAPL,1328020230,C,1329541200,425.0,455.25,30.85,31.2
AAPL,1328020230,C,1329541200,415.0,455.25,40.45,41.05
AAPL,1328020230,C,1329541200,405.0,455.25,50.15,50.8
AAPL,1328020230,C,1329541200,435.0,455.25,21.85,22.1
AAPL,1328020230,C,1329541200,455.0,455.25,7.65,7.85
AAPL,1328020230,C,1329541200,445.0,455.25,13.85,14.15
AAPL,1328020230,C,1329541200,490.0,455.25,0.35,0.41
AAPL,1328020230,C,1329541200,470.0,455.25,2.34,2.43
AAPL,1328020230,C,1329541200,480.0,455.25,0.94,1.0
AAPL,1328020230,C,1337400000,480.0,455.25,14.95,15.25
AAPL,1328020230,C,1337400000,515.0,455.25,6.2,6.45
AAPL,1328020230,C,1337400000,520.0,455.25,5.45,5.6
AAPL,1328020230,C,1337400000,505.0,455.25,8.1,8.3
AAPL,1328020230,C,1337400000,510.0,455.25,7.1,7.3
AAPL,1328020230,C,1334980800,655.0,455.25,0.0,0.09
AAPL,1328020230,C,1334980800,665.0,455.25,0.0,0.09
AAPL,1328020230,C,1342843200,665.0,455.25,0.47,0.64
AAPL,1328020230,C,1337400000,650.0,455.25,0.14,0.24
AAPL,1328020230,C,1337400000,655.0,455.25,0.11,0.23
AAPL,1328020230,C,1337400000,665.0,455.25,0.09,0.2
AAPL,1328020230,C,1334980800,245.0,455.25,208.55,212.75
AAPL,1328020230,C,1334980800,270.0,455.25,183.6,187.8
AAPL,1328020230,C,1334980800,280.0,455.25,175.05,176.4
AAPL,1328020230,C,1350705600,365.0,455.25,101.8,103.3
AAPL,1328020230,C,1350705600,355.0,455.25,110.0,111.9
AAPL,1328020230,C,1350705600,350.0,455.25,114.2,115.85
AAPL,1328020230,C,1350705600,300.0,455.25,158.6,159.85
AAPL,1328020230,C,1350705600,315.0,455.25,143.9,147.25
AAPL,1328020230,C,1350705600,290.0,455.25,167.0,170.35
AAPL,1328020230,C,1350705600,385.0,455.25,86.4,87.7
AAPL,1328020230,C,1350705600,330.0,455.25,130.55,133.85
AAPL,1328020230,C,1350705600,340.0,455.25,122.15,124.45
AAPL,1328020230,C,1350705600,325.0,455.25,136.25,137.65
AAPL,1328020230,C,1350705600,380.0,455.25,90.05,91.65
AAPL,1328020230,C,1331956800,570.0,455.25,0.0,0.08
AAPL,1328020230,C,1331956800,580.0,455.25,0.0,0.09
AAPL,1328020230,C,1331956800,590.0,455.25,0.0,0.09
AAPL,1328020230,C,1331956800,585.0,455.25,0.0,0.09
AAPL,1328020230,C,1331956800,565.0,455.25,0.0,0.11
AAPL,1328020230,C,1331956800,560.0,455.25,0.0,0.12
AAPL,1328020230,C,1350705600,320.0,455.25,139.35,142.75
AAPL,1328020230,C,1334980800,390.0,455.25,68.05,68.75
AAPL,1328020230,C,1334980800,360.0,455.25,96.1,97.15
AAPL,1328020230,C,1334980800,325.0,455.25,130.5,131.15
AAPL,1328020230,C,1334980800,305.0,455.25,150.05,151.0
AAPL,1328020230,C,1334980800,315.0,455.25,140.25,141.05
AAPL,1328020230,C,1334980800,405.0,455.25,55.0,55.6
AAPL,1328020230,C,1334980800,415.0,455.25,46.8,47.2
AAPL,1328020230,C,1334980800,395.0,455.25,63.7,64.1
AAPL,1328020230,C,1334980800,385.0,455.25,72.65,73.4
AAPL,1328020230,C,1334980800,375.0,455.25,82.05,82.65
AAPL,1328020230,C,1334980800,345.0,455.25,110.75,111.4
AAPL,1328020230,C,1334980800,355.0,455.25,101.1,101.8
AAPL,1328020230,C,1334980800,365.0,455.25,91.15,92.35
AAPL,1328020230,C,1334980800,335.0,455.25,120.5,121.3
AAPL,1328020230,C,1334980800,275.0,455.25,178.55,182.75
AAPL,1328020230,C,1334980800,285.0,455.25,170.25,171.0
AAPL,1328020230,C,1334980800,295.0,455.25,160.25,160.95
AAPL,1328020230,C,1334980800,265.0,455.25,188.8,192.75
AAPL,1328020230,C,1334980800,425.0,455.25,38.8,39.6
AAPL,1328020230,C,1334980800,240.0,455.25,214.95,216.2
AAPL,1328020230,C,1334980800,300.0,455.25,155.3,155.95
AAPL,1328020230,C,1334980800,330.0,455.25,125.35,126.2
AAPL,1328020230,C,1334980800,235.0,455.25,219.9,221.3
AAPL,1328020230,C,1331956800,575.0,455.25,0.0,0.1
AAPL,1328020230,C,1331956800,480.0,455.25,4.15,4.25
AAPL,1328020230,C,1331956800,470.0,455.25,6.85,7.05
AAPL,1328020230,C,1334980800,255.0,455.25,199.95,201.35
AAPL,1328020230,C,1334980800,260.0,455.25,194.95,196.35
AAPL,1328020230,C,1331956800,455.0,455.25,13.35,13.55
AAPL,1328020230,C,1334980800,320.0,455.25,135.45,136.1
AAPL,1328020230,C,1331956800,460.0,455.25,10.85,11.05
AAPL,1328020230,C,1334980800,250.0,455.25,204.95,206.3
AAPL,1328020230,C,1331956800,450.0,455.25,16.15,16.45
AAPL,1328020230,C,1331956800,425.0,455.25,34.05,34.4
AAPL,1328020230,C,1334980800,380.0,455.25,77.15,77.8
AAPL,1328020230,C,1331956800,440.0,455.25,22.6,22.85
AAPL,1328020230,C,1334980800,230.0,455.25,223.55,227.75
AAPL,1328020230,C,1331956800,465.0,455.25,8.7,8.9
AAPL,1328020230,C,1331956800,430.0,455.25,30.0,30.3
AAPL,1328020230,C,1331956800,445.0,455.25,19.25,19.45
AAPL,1328020230,C,1334980800,430.0,455.25,35.2,35.9
AAPL,1328020230,C,1334980800,340.0,455.25,115.7,116.5
AAPL,1328020230,C,1334980800,410.0,455.25,50.55,51.15
AAPL,1328020230,C,1334980800,310.0,455.25,145.2,146.0
AAPL,1328020230,C,1334980800,420.0,455.25,42.6,43.4
AAPL,1328020230,C,1331956800,420.0,455.25,38.3,38.7
AAPL,1328020230,C,1334980800,290.0,455.25,165.2,165.95
AAPL,1328020230,C,1334980800,370.0,455.25,86.55,87.35
AAPL,1328020230,C,1334980800,400.0,455.25,59.2,59.7
AAPL,1328020230,C,1331956800,400.0,455.25,56.4,57.0
AAPL,1328020230,C,1331956800,435.0,455.25,26.15,26.5
AAPL,1328020230,C,1331956800,305.0,455.25,150.1,151.3
AAPL,1328020230,C,1331956800,310.0,455.25,145.15,146.3
AAPL,1328020230,C,1331956800,290.0,455.25,164.4,167.8
AAPL,1328020230,C,1331956800,295.0,455.25,159.0,162.8
AAPL,1328020230,C,1334980800,350.0,455.25,105.7,106.55
AAPL,1328020230,C,1331956800,475.0,455.25,5.35,5.5
AAPL,1328020230,C,1331956800,285.0,455.25,168.65,172.8
AAPL,1328020230,C,1350705600,425.0,455.25,59.65,60.2
AAPL,1328020230,C,1350705600,285.0,455.25,171.7,175.1
AAPL,1328020230,C,1350705600,415.0,455.25,65.5,66.65
AAPL,1328020230,C,1350705600,395.0,455.25,79.0,80.45
AAPL,1328020230,C,1350705600,410.0,455.25,68.7,69.85
